id,fuente,localidad,tipo,length_m,area_ha,folder_path
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00083,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,53.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00084,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,46.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00085,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,74.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00086,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,49.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00087,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,23.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00088,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,45.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00089,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,38.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00090,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,27.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00091,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,35.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00092,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,33.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00093,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,46.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00094,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,39.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00095,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,41.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00096,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,122.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00097,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,6.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00098,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,74.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00099,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,36.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00100,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,25.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00101,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,26.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00102,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,26.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00103,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,44.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00104,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,35.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00105,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,44.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00106,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,136.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00107,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,24.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00108,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,69.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00109,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,131.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00110,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,131.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00111,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,27.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00112,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,126.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00113,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,52.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00114,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,50.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00115,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,163.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00116,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,27.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00117,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,115.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00118,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,22.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00119,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,8.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
